step,train_loss,train_mean_token_accuracy,train_error_rate,valid_loss,valid_mean_token_accuracy,valid_error_rate,full_valid_loss,full_valid_mean_token_accuracy,full_valid_error_rate
1,4.811467170715332,0.5,,6.402115106582642,0.5,,,,
2,6.885339736938477,0.5,,4.398896217346191,0.625,,,,
3,6.227621078491211,0.5,,6.493069410324097,0.5,,,,
4,6.216705799102783,0.5,,3.922821044921875,0.375,,,,
5,4.727777481079102,0.625,,3.4407882690429688,0.5,,,,
6,3.3715555667877197,0.375,,4.846251010894775,0.5,,,,
7,3.9638350009918213,0.375,,4.73732590675354,0.375,,,,
8,2.706613302230835,0.5,,3.5044589042663574,0.5,,,,
9,4.115549087524414,0.375,,3.0686662197113037,0.5,,,,
10,1.589059591293335,0.5,,2.574448347091675,0.375,,,,
11,1.649596929550171,0.5,,0.8959164619445801,0.625,,,,
12,0.9243264198303223,0.625,,1.550088882446289,0.75,,,,
13,2.1346983909606934,0.75,,1.4142274856567383,0.75,,,,
14,1.2614130973815918,0.875,,0.35677003860473633,0.875,,,,
15,1.2226338386535645,0.875,,0.7797427177429199,0.875,,,,
16,1.3145575523376465,0.75,,0.8457374572753906,0.75,,,,
17,1.1957545280456543,0.75,,1.3743605613708496,0.75,,,,
18,0.8938212394714355,0.75,,1.4837708473205566,0.75,,,,
19,1.3355135917663574,0.75,,1.2672908306121826,0.75,,,,
20,1.2176299095153809,0.75,,1.2219579219818115,0.75,,,,
21,1.109884262084961,0.75,,0.8152263164520264,0.875,,,,
22,0.853966474533081,0.75,,0.7477664947509766,0.75,,,,
23,1.346634864807129,0.75,,1.316307544708252,0.75,,,,
24,1.3964869976043701,0.75,,1.2957909107208252,0.75,,,,
25,0.749323844909668,0.875,,0.8948183059692383,0.875,,,,
26,0.5916852951049805,0.875,,1.3635106086730957,0.75,,,,
27,1.4929554462432861,0.75,,1.1666083335876465,0.75,,,,
28,1.332258701324463,0.75,,1.1644670963287354,0.75,,,,
29,0.3937091827392578,0.875,,0.6713006496429443,0.875,,,,
30,1.5017154216766357,0.75,,1.4481744766235352,0.75,,,,
31,0.9386289119720459,0.875,,1.542419672012329,0.875,,,,
32,1.1080772876739502,0.75,,0.7226259708404541,0.75,,,,
33,1.1560511589050293,0.75,,1.5011811256408691,0.75,,,,
34,0.8418927192687988,0.875,,1.3017644882202148,0.75,,,,
35,1.0856783390045166,0.875,,1.2362802028656006,0.75,,,,
36,1.3113071918487549,0.75,,1.5749597549438477,0.75,,,,
37,1.1552135944366455,0.75,,1.8679277896881104,0.75,,,,
38,1.5085675716400146,0.75,,1.4797675609588623,0.75,,,,
39,0.9122064113616943,0.875,,1.4232890605926514,0.75,,,,
40,1.4749102592468262,0.75,,1.2611384391784668,0.75,,,,
41,1.0418667793273926,0.75,,1.208127498626709,0.875,,,,
42,1.014784812927246,0.75,,0.7876529693603516,0.875,,,,
43,2.4157495498657227,0.625,,1.6840388774871826,0.75,,,,
44,1.4544403553009033,0.75,,1.9686493873596191,0.75,,,,
45,1.3048977851867676,0.75,,1.0979835987091064,0.875,,,,
46,0.7237873077392578,0.875,,1.4519672393798828,0.75,,,,
